sep=; 
EthoWatcher Open Source 
Observer
Lab
Experiment
Animal
Weight
sex
Treatment/condition
Other Info
WARNING: in this version, DECIMALS are separated by DOT(.) 
TRACKING - ACTIVITY REPORT
Registred video file are locate in C:/teste_ethowatcher/Lane maze w background femeas exemplo multiplas areas mosca 1 intrinsic noise camera virtual.vxml
Start in ;22.5;seconds ;675; frames 
End in ;56.9333;seconds ;1708; frames 
1 cm = ;108.805; pixeis
1 pixel= 8.447e-05cm2
Area Name ;Total Area
Figure Height; 480
Figure Width; 640






;;Number of pixels;Area (in cm2);Horizontal coordinate of the centroid;Vertical coordinate of the centroid;AA(in degrees);Height of the animal;Width of the animal;Object Detected;Distance travelled by the centroid;Distance travelled by the centroid;Variation of Area (from the former frame);Variation of Height of animal (from the former frame);Variation of width of animal (from the former frame);Variation of Angule of animal;Intrinsic noise (minimum variation distance traveled by the centroid)
frames;second;of the animal's body;of the animal's body;(in pixels, from0 to 640 );(in pixels, from 0 to 480 );Angle between animal and Horizontal coordinate ;in cm;in cm;true or false;(in pixels);(in cm);in cm2;in cm;in cm;in degrees;true or false
675;22.5;177;0.0149512;128.809;22.9435;-78.6901;0.234319;0.0901228;true;0;0;0;0;0;0;false;
676;22.5333;177;0.0149512;128.809;22.9435;-78.6901;0.234319;0.0901228;true;0;0;0;0;0;0;true;
677;22.5667;177;0.0149512;128.809;22.9435;-78.6901;0.234319;0.0901228;true;0;0;0;0;0;0;true;
678;22.6;177;0.0149512;128.809;22.9435;-78.6901;0.234319;0.0901228;true;0;0;0;0;0;0;true;
679;22.6333;177;0.0149512;128.809;22.9435;-78.6901;0.234319;0.0901228;true;0;0;0;0;0;0;true;
680;22.6667;177;0.0149512;128.809;22.9435;-78.6901;0.234319;0.0901228;true;0;0;0;0;0;0;true;
681;22.7;177;0.0149512;128.809;22.9435;-78.6901;0.234319;0.0901228;true;0;0;0;0;0;0;true;
682;22.7333;177;0.0149512;128.809;22.9435;-78.6901;0.234319;0.0901228;true;0;0;0;0;0;0;true;
683;22.7667;177;0.0149512;128.809;22.9435;-78.6901;0.234319;0.0901228;true;0;0;0;0;0;0;true;
684;22.8;177;0.0149512;128.809;22.9435;-78.6901;0.234319;0.0901228;true;0;0;0;0;0;0;true;
685;22.8333;177;0.0149512;128.809;22.9435;-78.6901;0.234319;0.0901228;true;0;0;0;0;0;0;true;
686;22.8667;177;0.0149512;128.809;22.9435;-78.6901;0.234319;0.0901228;true;0;0;0;0;0;0;true;
687;22.9;177;0.0149512;128.809;22.9435;-78.6901;0.234319;0.0901228;true;0;0;0;0;0;0;true;
688;22.9333;177;0.0149512;128.809;22.9435;-78.6901;0.234319;0.0901228;true;0;0;0;0;0;0;true;
689;22.9667;177;0.0149512;128.809;22.9435;-78.6901;0.234319;0.0901228;true;0;0;0;0;0;0;true;
690;23;177;0.0149512;128.809;22.9435;-78.6901;0.234319;0.0901228;true;0;0;0;0;0;0;true;
691;23.0333;177;0.0149512;128.809;22.9435;-78.6901;0.234319;0.0901228;true;0;0;0;0;0;0;true;
692;23.0667;177;0.0149512;128.809;22.9435;-78.6901;0.234319;0.0901228;true;0;0;0;0;0;0;true;
693;23.1;177;0.0149512;128.809;22.9435;-78.6901;0.234319;0.0901228;true;0;0;0;0;0;0;true;
694;23.1333;177;0.0149512;128.809;22.9435;-78.6901;0.234319;0.0901228;true;0;0;0;0;0;0;true;
695;23.1667;177;0.0149512;128.809;22.9435;-78.6901;0.234319;0.0901228;true;0;0;0;0;0;0;true;
696;23.2;177;0.0149512;128.809;22.9435;-78.6901;0.234319;0.0901228;true;0;0;0;0;0;0;true;
